id,formula,nsites,spg,e_form,e_above_hull,dft_bandgap_eV,dft_bandgap_dir_eV,dos_ef_dft,sk_bandgap_eV
agm2000125398,ScPd2,6,67,-0.19769028,0.6928841,0.0,0.00030000000000000003,3.5654945,0.005564451217651367
agm2000125402,ScSb2,6,123,-0.25511345,0.37107152,0.0,0.0,3.1260765,0.05725288391113281
agm2000125403,ScSe2,6,59,-1.093951,0.33403733,0.0,0.027,4.9092984,0.018253326416015625
agm2000125405,ScSn2,6,53,-0.021264162,0.45006502,0.0,0.0043,5.820869,0.00019788742065429688
agm2000125407,ScTe2,3,47,-0.78153116,0.24332273000000001,0.0,0.0,1.7916394,0.0015211105346679688
agm2000125409,ScTi2,6,90,1.1755842,1.1755842,0.0,0.09050000000000001,7.2948966,0.00229644775390625
agm2000125412,Y2Sc,3,115,2.0174942,2.0174942,0.0,0.018500000000000003,6.7328854,0.0007905960083007812
agm2000125413,ScZn2,3,123,0.17129116,0.5343084,0.0,0.0092,2.3130987,0.003258228302001953
agm2000125414,Zr2Sc,6,90,1.3041707,1.3324672,0.0,0.0024000000000000002,9.240454,0.003917694091796875
agm2000125416,AgSe2,6,59,0.21453919999999999,0.25872526,0.0,0.0,4.441166,0.006444454193115234
agm2000125418,BaSe2,3,123,-1.3025974,0.09080293,1.5695000000000001,1.9756,0.0,2.310364246368408
agm2000125420,Se2Br,6,49,0.20495881,0.2571727,0.0,0.0286,4.4781103,0.07486581802368164
agm2000125421,CdSe2,6,11,-0.14749323,0.27163514,0.0,0.0212,3.8342578,0.0009961128234863281
agm2000125422,CsSe2,3,65,-0.4202575,0.3022859,0.0,0.0,2.7832618,0.003693103790283203
agm2000125428,InSe2,3,164,-0.1765282,0.2650589,0.0,0.0,2.4790378,0.004221439361572266
agm2000125429,Se2I,6,49,0.23655246,0.24549904,0.0,0.057800000000000004,1.4438611,0.0009527206420898438
agm2000125430,LaSe2,3,123,-1.3450549,0.42217886,0.0,0.17830000000000001,1.122909,0.005778312683105469
agm2000125438,RbSe2,3,65,-0.38263538,0.3032564,0.0,0.0,2.682433,0.0006842613220214844
agm2000125440,SbSe2,3,164,-0.15062775,0.06878205,0.0,0.0,1.9249523,0.013499736785888672
agm2000125442,SnSe2,3,164,-0.34499267,0.00304594,0.7939,1.1113,-0.050191599999999996,2.8040881156921387
agm2000125443,SrSe2,3,123,-1.2411064,0.14004971,1.4068,1.7610999999999999,-0.00013079999999999998,2.819474697113037
agm2000125445,TcSe2,6,11,-0.4208266,0.097560726,0.0,0.0,3.8348746,0.015006065368652344
agm2000125446,TeSe2,6,164,-0.007034024000000001,0.007941577,0.49420000000000003,1.2254,0.0221728,2.4326796531677246
agm2000125451,YSe2,3,123,-1.1967324,0.39066067,0.0,0.0852,2.1138256,0.007740974426269531
agm2000125454,Ba2Se,3,123,-0.8432484,0.5244137,0.0,0.045200000000000004,3.4516736999999997,0.0090179443359375
agm2000125456,SeBr2,6,2,0.024984075,0.08727848,0.0,0.0558,1.1124266,0.000820159912109375
agm2000125457,Cd2Se,3,123,0.27862608,0.69775444,0.0,0.0025,2.139204,0.0024433135986328125
agm2000125459,Cs2Se,3,123,-0.8881844999999999,0.19054087,0.40540000000000004,0.40540000000000004,0.1233,0.01590585708618164
agm2000125465,SeI2,6,2,0.12145239000000001,0.13934556,0.6603,0.9806,-0.19746149999999998,2.4896655082702637
agm2000125466,La2Se,3,123,-0.55636185,0.777663,0.0,0.0049,4.6975265,0.00420689582824707
agm2000125467,Mo2Se,6,129,-0.11971913,0.22160069999999998,0.0,0.0037,4.1069074,0.004283905029296875
agm2000125468,Nb2Se,6,129,-0.5317163500000001,0.008601752,0.0,0.09820000000000001,4.0925446,0.006531715393066406
agm2000125471,Pd2Se,6,90,0.045749296,0.28634167,0.0,0.0631,3.8746922,0.0096435546875
agm2000125475,Rh2Se,6,59,0.050808847000000004,0.28169072,0.0,0.0388,5.514045,0.005948781967163086
agm2000125476,Sb2Se,9,157,0.097904235,0.24417743,0.49260000000000004,0.49260000000000004,-0.0962912,1.454397201538086
agm2000125478,Sn2Se,3,164,0.018723074000000003,0.31093597,0.0,0.23720000000000002,1.5933871,0.014174938201904297
agm2000125479,Sr2Se,3,123,-0.79340005,0.587756,0.0,0.11,2.922936,0.025113582611083984
agm2000125481,Te2Se,6,27,0.10809766,0.115585454,1.3091,1.3091,-0.001041,3.3997385501861572
agm2000125485,Y2Se,3,123,-0.30851156,0.8654184300000001,0.0,0.0244,4.33813,0.018099308013916016
agm2000125486,Zr2Se,3,123,0.22912751,1.1625961,0.0,0.0002,3.880273,0.015364646911621094
agm2000125487,Si2Ge,3,123,0.6807505500000001,0.6807505500000001,0.0,0.1968,1.932092,0.001058340072631836
agm2000125489,Si2P,3,187,0.60547525,0.7079367999999999,0.0,0.0,0.8636117999999999,0.0048542022705078125
agm2000125490,Si2Se,3,187,0.8430576999999999,1.0710994,0.2391,0.38830000000000003,0.42517099999999997,0.15073943138122559
agm2000125491,Si2Te,3,187,0.9121068999999999,0.9304471,0.18910000000000002,0.35250000000000004,0.560775,0.001607656478881836
agm2000125493,SiAs2,6,2,0.18397813000000002,0.2690395,1.1973,1.5619,-0.0014792,2.528201103210449
agm2000125495,Ba2Si,6,129,0.012854162,0.32473326,0.0,0.0297,1.8610973,0.008659839630126953
agm2000125496,SiBr2,6,28,-0.11558993000000001,0.55490214,0.5625,0.5625,-0.11932649999999999,1.9180176258087158
agm2000125497,SiCl2,6,3,-1.0115923,0.42398247,2.2941000000000003,2.4408,0.0,2.994788408279419
agm2000125498,Co2Si,6,129,0.08588699,0.5408354,0.0,0.0002,5.1266594,0.007992744445800781
agm2000125499,Cs2Si,6,51,0.14024472,0.19483992,0.0,0.0005,5.2807465,0.026467561721801758
agm2000125500,Cu2Si,6,90,0.6796304,0.74505603,0.0,0.2383,2.811033,0.0030562877655029297
agm2000125501,Fe2Si,6,59,0.036757,0.41688374,0.0,0.0182,4.893415,0.00023126602172851562
agm2000125502,SiI2,6,28,0.2628745,0.57406694,0.9814,1.2903,-0.0603726,0.1153554916381836
agm2000125504,K2Si,6,51,0.15545382,0.20392208,0.0,0.0126,4.6534433,0.0007338523864746094
agm2000125505,Mn2Si,6,123,0.12255967000000001,0.48535746,0.0,0.0011,4.6163263,0.004987239837646484
agm2000125506,SiNi2,6,129,-0.11066561,0.4410054,0.056400000000000006,0.516,1.1825274,0.0018925666809082031
agm2000125507,SiP2,3,164,0.39421493,0.52020717,0.0,0.0067,0.54821926,0.005410909652709961
agm2000125508,SiPd2,6,129,-0.20839125,0.47489655000000003,0.3567,0.5710000000000001,-0.0976112,0.006615400314331055
agm2000125510,Rb2Si,6,51,0.17151232,0.20385036,0.0,0.0756,4.403151,0.01068425178527832
agm2000125511,SiRh2,6,129,0.00017422333,0.7237253,0.0,0.0073,6.8665366,0.00640106201171875
agm2000125512,SiS2,3,115,-1.0213404,0.10000215,1.7219,2.2358000000000002,0.0,7.436030387878418
agm2000125513,SiSb2,3,123,1.0396671,1.0396671,0.0,0.016900000000000002,3.488048,0.07762336730957031
agm2000125514,SiSe2,3,115,-0.36610603,0.08997731,1.1201,1.3964,-0.002195,3.883063316345215
agm2000125515,Sr2Si,6,129,0.008776808,0.378959,0.0,0.0211,2.1984513,1.102388620376587
agm2000125516,SiTe2,3,115,0.037150715,0.07383115,0.24810000000000001,0.49360000000000004,0.2256375,4.3192458152771
agm2000125544,CsSn2,6,51,-0.027809847000000002,0.22960825,0.0,0.0,4.5586953,0.017416000366210938
agm2000125548,Sn2I,3,65,0.38983983,0.6450241999999999,0.0,0.0,1.6315252,0.01520681381225586
agm2000125549,LaSn2,3,47,-0.13373993,0.5543477,0.0,0.006,2.1018927,0.013106822967529297
agm2000125556,Sn2Sb,6,2,0.25623626,0.26808146,0.0,0.10210000000000001,1.5690181,0.020310401916503906
agm2000125558,Sn2Te,3,123,0.17936526,0.37181675000000003,0.0,0.3635,0.76999587,0.05609273910522461
agm2000125564,Ba2Sn,3,47,-0.2764759,0.33156,0.0,0.1202,2.4228015,0.048873186111450195
agm2000125570,La2Sn,6,53,0.15659378000000002,0.7927719999999999,0.0,0.0061,8.744229,0.01675891876220703
agm2000125575,SnSb2,3,164,0.31574184,0.32462573,0.0,0.0441,1.7234886999999999,0.019153356552124023
agm2000125577,SnTe2,3,123,0.46652436,0.65897584,0.0,0.0,2.0532808,0.010312557220458984
agm2000125580,Sr2Ag,6,12,0.005836775000000001,0.23284015,0.0,0.048100000000000004,6.3653183,0.004691123962402344
agm2000125582,BaSr2,3,21,0.51815224,0.5183393,0.0238,0.027200000000000002,4.0892367,0.007459402084350586
agm2000125584,Sr2Cd,6,129,0.03318143,0.26970553,0.0,0.0,6.832251,0.002577543258666992
agm2000125585,CsSr2,3,47,0.55885273,0.55885273,0.0,0.0,3.4821339,0.0032682418823242188
agm2000125590,Sr2In,6,129,-0.023135450000000002,0.30465618,0.0,0.0188,9.837267,0.003912925720214844
agm2000125592,Sr2I,3,164,-0.5511096,0.302593,0.0,0.0,1.703059,0.0021753311157226562
agm2000125593,Sr2La,3,21,0.38255507,0.38255507,0.0,0.0,6.0376787,0.020775794982910156
