jid,sk_gap,alignn_gap,dft_gap
cc-153,4.937082,3.333700180053711,6.019158637612546
cc-157,4.666542,2.6146790981292725,5.371799758820491
cc-161,8.1946,4.526971340179443,7.156594582694844
cc-165,14.70066,5.231995582580566,10.579242744715215
cc-169,6.981719,5.226973056793213,8.93377021842032
cc-173,3.956033,1.3011984825134277,5.164176881763603
cc-177,5.477766,3.013063907623291,6.364199015211673
cc-181,7.091678,3.6811625957489014,6.814275343720314
cc-185,15.905045,5.663761138916016,11.220343004670692
cc-189,8.472954,4.13746976852417,8.5710424397613
cc-193,8.97109,4.582418441772461,8.18137538871875
cc-197,6.374074,4.28414249420166,7.289930375300184
cc-201,2.599185,3.2563443183898926,4.224567714689637
cc-205,15.27211,5.330531120300293,10.662781700490397
cc-209,3.990932,3.173116445541382,4.956554004706714
cc-213,5.73094,3.2155344486236572,6.549780669409311
cc-217,5.259686,2.895296335220337,5.992763592953938
cc-221,6.570864,5.202820301055908,7.497281138494613
cc-225,7.411164,3.7825257778167725,9.071187718962559
cc-229,13.187407,4.900420188903809,8.248587512746342
cc-233,6.633533,4.854717254638672,7.8409609467814425
cc-237,9.245137,4.358817100524902,6.7840707049872675
cc-241,7.164232,4.233666896820068,9.604803003246385
cc-245,13.997082,4.703762054443359,9.162617976749079
cc-249,4.560089,3.206237316131592,6.262428430651679
cc-253,13.272652,4.782892227172852,8.11878920035298
cc-257,14.84141,5.707828521728516,10.435838739198857
cc-261,6.340438,4.640901565551758,7.365033801339112
cc-265,5.000676,3.2804229259490967,6.019430751475005
cc-269,6.042394,4.481886863708496,7.749258575132464
cc-273,5.039574,4.134881973266602,6.3571240547877155
cc-277,9.939668,5.024420261383057,10.881289132045682
cc-281,6.162963,3.6826791763305664,6.025689370311582
cc-285,13.928619,4.623754024505615,8.514170642507185
cc-289,5.993548,4.957660675048828,7.2395893107451075
cc-293,4.186583,3.2609975337982178,4.448245309631658
cc-297,5.321976,3.206298828125,6.180522158051255
cc-301,6.470846,4.129600524902344,6.666517516404601
cc-305,3.082603,2.544706106185913,5.7859570574844295
cc-309,10.2185,4.741620063781738,9.512556403872484
cc-313,3.494849,2.313483953475952,4.147831605475951
cc-317,14.488275,4.514014720916748,9.898413860840593
cc-321,10.739656,4.378291130065918,6.834683883404805
cc-325,8.061261,3.8281309604644775,6.086914989365056
cc-329,5.533091,3.9831273555755615,6.84366364086598
cc-333,4.336022,3.320781707763672,6.029771078248481
cc-337,14.524525,5.531250953674316,9.920182969837384
cc-341,11.237989,4.086165428161621,8.574035692248358
cc-345,17.510866,6.073009490966797,11.533818174224473
cc-349,11.228138,4.144161224365234,6.80366290308438
cc-353,7.010118,5.368524551391602,7.645311079672788
cc-357,9.681364,5.827764511108398,8.442604696680238
cc-361,0.151259,1.6394259929656982,1.3828826490211101
cc-365,6.765176,3.8706727027893066,6.363110559761833
cc-369,2.720844,2.8059024810791016,4.28660967533049
cc-373,3.259284,2.4563913345336914,5.123904030119541
cc-377,15.554079,5.266355514526367,9.63745666674157
cc-381,7.457002,4.840287685394287,8.844516871533479
cc-385,5.870849,4.188409805297852,1.174171316514382
cc-393,13.206041,4.802299976348877,8.97431518392684
cc-397,5.586421,2.2189693450927734,6.072492954654683
cc-401,8.053402,3.4628748893737793,8.744106856285784
cc-405,9.546472,4.373824596405029,8.314711181324093
cc-409,13.663585,4.938626289367676,8.975947867101603
cc-413,4.907669,3.333568572998047,5.993579934541316
cc-417,9.362066,3.0081329345703125,6.567740184331664
cc-421,6.524711,4.202954292297363,7.545717406012471
cc-425,4.789204,3.2226357460021973,5.678744195675235
cc-429,2.293502,2.292583465576172,5.323907719027551
cc-433,4.889485,3.132113456726074,5.905415043104315
cc-437,21.282986,6.2452192306518555,13.795084371266078
cc-441,5.697202,4.284414291381836,6.941896745213999
cc-445,6.183216,4.929289817810059,7.386802910335903
cc-449,6.294648,3.9411516189575195,7.322311924932911
cc-453,6.567294,5.230113983154297,7.490478291933117
cc-457,8.449062,2.165487289428711,7.347346400279219
cc-461,7.154124,4.043322563171387,9.00179868403529
cc-465,6.185177,3.2156965732574463,5.921469760989448
cc-469,10.139187,4.10521125793457,7.780279555452889
cc-473,6.121382,3.4793543815612793,7.246120043444145
cc-477,14.258308,4.751833915710449,9.09132414478459
cc-481,8.636777,4.670961380004883,8.013753249443464
cc-485,6.207209,4.997990608215332,7.381904860811625
cc-489,4.585196,3.8091304302215576,6.19113459868719
cc-493,5.280149,3.122788429260254,6.793050462448445
cc-497,6.239264,4.907444477081299,7.316053306096333
cc-501,10.147107,4.526466369628906,6.98407439389528
cc-505,3.144606,2.569295883178711,4.295045205066746
cc-509,13.014429,5.137145042419434,9.511740062285106
cc-513,6.100045,3.558506488800049,6.8393098190666235
cc-517,21.258984,6.541915416717529,13.792635346503936
cc-521,9.717227,3.4369897842407227,8.710092623478298
cc-525,6.019602,4.783795356750488,7.014006918765866
cc-529,5.748823,3.9083058834075928,6.784070704987268
cc-533,4.271124,3.420322895050049,5.2934309664320445
cc-537,19.530642,6.415386199951172,11.65273193211944
cc-541,3.900405,2.6395721435546875,4.17368242240964
cc-545,10.110786,4.810339450836182,7.2414941077823265
cc-549,6.881141,4.653067588806152,7.579187411095037
cc-553,3.13231,2.5786004066467285,4.212594704741402
cc-557,13.559566,4.730697154998779,8.377569483552325
cc-561,4.807311,1.3086402416229248,5.704595012608925
cc-565,2.965471,3.7405967712402344,3.6923129997181117
cc-569,6.330848,4.825198173522949,7.049381720885651
cc-573,9.60994,4.635705471038818,8.29593532481436
cc-577,5.981014,4.4566426277160645,6.715225897784919
cc-581,8.843997,2.911038398742676,5.841740399288703
cc-585,7.147447,3.1541194915771484,2.42535085610491
cc-589,6.809966,0.9861804246902466,2.0321463248503835
cc-593,4.491934,5.0563154220581055,5.80500502785662
cc-597,17.773029,6.853796005249023,11.124014697359893
cc-601,5.131643,3.1914331912994385,5.7927599040459254
cc-605,3.016907,3.506497859954834,3.806056594226342
cc-609,6.759814,5.214062690734863,7.472790890873225
cc-613,3.10625,4.362944602966309,4.773693489133674
cc-617,6.491343,4.230167388916016,8.076883665534156
cc-621,10.968777,5.456238746643066,11.901171888545312
cc-625,5.139429,1.8812661170959473,5.775344616848494
cc-629,4.769337,5.626131534576416,9.078806907111435
cc-633,3.4129,3.540454864501953,2.157318701581929
cc-637,7.797744,2.5550696849823,8.564239593199803
cc-641,5.666596,3.0187878608703613,5.556020843705831
cc-645,2.94519,2.948056221008301,5.280641614896432
