jid,species,homo_raw,lumo_raw,hl_gap_hartree_eV,hl_gap_ev_eV,sk_bandgap_eV,excluded
cc-628,C2H5-,0.128040,0.318010,5.169347,0.189970,13.777960,
cc-632,CN-,0.018570,0.354350,9.137039,0.335780,3.400070,
cc-636,HCCl,-0.246230,-0.121320,3.398974,0.124910,1.973454,
cc-640,CH3OO-,0.101850,0.306030,5.556021,0.204180,5.666596,
cc-644,CH3O-,0.081000,0.326710,6.686110,0.245710,15.547323,
cc-648,CH3-,0.137130,0.372530,6.405560,0.235400,14.992729,
cc-652,CHFCHClz,-0.256980,0.004280,7.109247,0.261260,6.716611,
cc-656,C2H2ClF,-0.264740,0.004120,7.316053,0.268860,7.137800,
cc-660,C6H5-,0.059850,0.210260,4.092865,0.150410,4.220403,
cc-664,LiCN,-0.254320,-0.058170,5.337513,0.196150,4.442868,
cc-668,C4H9N,-0.227500,0.082660,8.439884,0.310160,13.427879,
cc-672,CH2OH+,-0.672490,-0.377200,8.035250,0.295290,10.193862,
cc-676,HCCN,-0.268550,-0.177970,2.464807,0.090580,0.174832,
cc-680,C2H3+,-0.606890,-0.414710,5.229484,0.192180,4.281409,
cc-684,C3H4,-0.238800,0.018770,7.008837,0.257570,6.452870,
cc-688,C4H8O,-0.255400,0.078780,9.093501,0.334180,13.917545,
cc-692,CS,-0.310120,-0.082750,6.187053,0.227370,5.106566,
cc-696,HNCS,-0.263330,-0.043360,5.985689,0.219970,5.525080,
cc-700,HO2-,0.135970,0.326380,5.181320,0.190410,5.418268,
cc-704,OH-,0.160790,0.413400,6.873868,0.252610,17.697281,
cc-708,CF-,0.197840,0.251990,1.473497,0.054150,4.086110,
cc-712,C4H8Cl2,-0.294640,-0.009640,7.755245,0.285000,8.286077,
cc-716,SiH2Cl2,-0.325970,-0.013610,8.499749,0.312360,12.778321,
cc-720,CH3NNCH3,-0.215870,-0.037270,4.859954,0.178600,2.706840,
cc-724,NH2CCNH2,-0.198360,0.074850,7.434423,0.273210,7.780659,
cc-728,C4H12N2,-0.217600,0.071460,7.865723,0.289060,13.361473,
cc-732,C6H12,-0.286470,0.088980,10.216515,0.375450,14.446350,
cc-736,C5H6,-0.215520,0.007040,6.056166,0.222560,4.780504,
cc-740,C5H10S,-0.216550,0.023170,6.523114,0.239720,5.258824,
cc-744,C3H4O,-0.223680,-0.030940,5.244723,0.192740,4.512715,
cc-748,C5H12S,-0.213510,0.047810,7.110879,0.261320,9.488067,
cc-752,C5H6,-0.241130,0.038340,7.604766,0.279470,7.693276,
cc-756,HNC,-0.312370,0.026460,9.220034,0.338830,7.076865,
cc-767,AlCl3,-0.333260,-0.065620,7.282855,0.267640,7.232595,
cc-771,TiCl4,-0.345940,-0.154080,5.220777,0.191860,5.392454,
cc-775,CHClCHCH2CH3,-0.246160,0.011790,7.019177,0.257950,6.338768,
cc-779,BF3,-0.414080,0.035940,12.245668,0.450020,10.993475,
cc-783,ZnCl2,-0.321480,-0.069560,6.855092,0.251920,7.402114,
cc-787,PF5,-0.414510,0.000280,11.287011,0.414790,19.836878,
cc-791,NaF,-0.214390,-0.065420,4.053680,0.148970,8.937430,
cc-795,MgH2,-0.259220,-0.030170,6.232768,0.229050,7.195963,
cc-799,PCl3,-0.302490,-0.074930,6.192223,0.227560,0.815949,
cc-803,Br2,-0.282830,-0.140440,3.874629,0.142390,3.481429,
cc-807,CuCl,-0.226520,-0.109230,3.191623,0.117290,1.454489,
cc-811,Cl2,-0.313670,-0.142340,4.662127,0.171330,5.830257,
cc-815,NH2NO2,-0.301030,-0.058590,6.597128,0.242440,5.024279,
cc-819,H2Se,-0.242590,0.002210,6.661347,0.244800,8.171626,
cc-823,F2SO,-0.336580,-0.053160,7.712251,0.283420,11.108196,
cc-827,GaF3,-0.404220,-0.097980,8.333215,0.306240,9.956347,
cc-831,SF4,-0.342720,-0.079560,7.160948,0.263160,12.526701,
cc-835,AlF3,-0.396670,-0.060120,9.157992,0.336550,10.372731,
cc-839,AsF5,-0.418210,-0.093050,8.848054,0.325160,19.937294,
cc-843,BeF2,-0.397640,-0.001580,10.777342,0.396060,11.791346,
cc-847,HSO3F,-0.351500,-0.014990,9.156904,0.336510,13.748734,
cc-851,FNO3,-0.353560,-0.099260,6.919856,0.254300,5.795758,
cc-855,CaF2,-0.272500,-0.067730,5.572076,0.204770,10.391596,
cc-859,ClF3,-0.334550,-0.150570,5.006351,0.183980,7.680648,
cc-863,HClO3,-0.320340,-0.092890,6.189230,0.227450,6.237355,
cc-867,NH2OH,-0.254410,0.081430,9.138672,0.335840,9.381905,
cc-871,C5H5NO,-0.238580,-0.078050,4.368244,0.160530,2.470380,
cc-875,C5H5NO,-0.250680,-0.085420,4.496954,0.165260,3.633838,
cc-879,C4H6OS,-0.214080,0.023560,6.466514,0.237640,5.757189,
cc-883,C3H4N2,-0.272780,-0.053040,5.979430,0.219740,4.477818,
cc-887,C2O4--,0.211850,0.470630,7.041763,0.258780,2.417015,
cc-891,HNS,-0.225310,-0.137570,2.387527,0.087740,0.741809,
cc-895,HBHHBH,-0.255200,0.026120,7.655107,0.281320,5.975646,
cc-899,C2H7+,-0.658950,-0.301870,9.716642,0.357080,8.923514,
