id,formula,e_form,dft_bandgap_eV,dft_bandgap_dir_eV,sk_bandgap_eV
agm002193105,Sr(ZnSn)2,-0.35789922,0.0,0.0342,0.005437135696411133
agm005286487,SrZr12B2I5Cl23,-1.9845407,1.2008,1.2008,1.2817943096160889
agm006088047,SrZr4N6,-1.6602134,0.6347,0.6347,1.8530821800231934
agm002254714,SrZr(BO3)2,-3.3389702,4.5182,4.5182,6.131264686584473
agm002163326,SrZrN2,-1.4899615,1.2157,1.2157,2.1907529830932617
agm006057131,Sr(ZrS2)4,-2.077,0.0,0.0196,0.0010223388671875
agm005735723,Tc2AgF11,-2.2412546,0.0041,0.0044,0.28663015365600586
agm005923150,Tc2Cl8O,-1.1641499,0.7589,0.7622,1.7444157600402832
agm003202773,Tc2N,-0.22786298,0.0,0.0,0.0005679130554199219
agm003210675,Tc2P,-0.4376081,0.0,0.0,0.0013909339904785156
agm003188842,Tc3N,-0.204362,0.0,0.0591,0.0007786750793457031
agm003263783,Tc3Pd,-0.06730804,0.0,0.0475,5.817413330078125e-05
agm005533723,Tc3Sb4,-0.018281821,0.0,0.0,0.002055644989013672
agm003485471,TcAg2F6,-1.9726374999999998,1.4954,1.4954,0.0009984970092773438
agm004662775,TcAg3(IF3)2,-1.5417676,0.0,0.0177,0.001430511474609375
agm005733347,TcAgCl6,-0.98652565,0.0,0.0145,0.022330760955810547
agm005754426,TcAgO4,-1.5356314,1.5268000000000002,1.5779999999999998,2.8992156982421875
agm003248166,TcBr4,-0.367511,0.6354000000000001,0.6354000000000001,0.0001735687255859375
agm003231437,TcCl3,-1.1568319,0.7757000000000001,0.8205,0.7536330223083496
agm003248012,TcF4,-2.3409905,1.3432,1.3519,5.6743621826171875e-05
agm003764078,TcHF6,-2.2442873,0.432,0.4388,0.0004949569702148438
agm003187104,TcMoRh2,-0.20919861,0.0,0.0,0.0013103485107421875
agm005792315,TcNiCl6,-1.0881848,0.6763,0.6795,0.00011110305786132812
agm005047095,TcNiO4F,-1.7923247,2.4837,2.5233,0.08776044845581055
agm003251923,TcO2F3,-2.177464,2.5541,2.5592,6.255989074707031
agm003244845,TcOF4,-2.3349822,1.0493,1.0541,0.0002372264862060547
agm003247648,TcP4,-0.41016412,0.842,0.842,0.7796082496643066
agm003186132,TcRh,-0.17450646,0.0,0.042,0.0013451576232910156
agm002026445,TcRu,-0.06691191,0.0,0.0,0.004295825958251953
agm003187119,TcSbH2,-0.09516649,0.25020000000000003,0.8092,0.0011544227600097656
agm005539622,TcSn,-0.015236492,0.0,0.0,0.0025000572204589844
agm005867466,Tc(SO4)2,-1.8029907,0.9987,0.9987,0.0018701553344726562
agm005237196,Te10Mo3I10,-0.22933704,1.2282,1.2564,1.3228302001953125
agm003285809,Te2Cl13,-0.82285565,0.0,0.0,0.00041937828063964844
