id,sk_gap,alignn_gap,dft_gap
agm1000018696,5.48624324798584,1.3534144163131714,1.3779
agm1000016059,5.1418914794921875,1.7635729312896729,1.6968
agm1000018202,0.1994950771331787,1.6409584283828735,0.0
agm1000004275,6.382233142852783,2.1360225677490234,1.4253
agm1000018538,6.20318078994751,1.8401838541030884,0.1393
agm1000005047,0.6015729904174805,1.5836215019226074,0.4807
agm1000004364,0.3577008247375488,1.434571385383606,0.958
agm1000016782,3.6868703365325928,1.9007148742675781,2.0209
agm1000014297,3.990790843963623,2.2438266277313232,1.9604
agm1000015965,4.050230979919434,2.068974018096924,1.7642
agm1000001668,4.304391860961914,1.7298170328140259,1.9213
agm1000009035,4.203243255615234,1.9477472305297852,2.2871
agm1000013003,4.247445106506348,1.980820655822754,1.3772
agm1000016729,1.3130497932434082,0.905174970626831,1.4074
agm1000015888,1.2033898830413818,1.3268437385559082,1.3251
agm1000014195,0.7013454437255859,1.641505241394043,0.5245000000000001
agm1000006767,0.0127301216125488,1.2905189990997314,0.0143
agm1000018134,1.4475822448730469,1.6194268465042114,0.5779000000000001
agm1000016340,3.412193775177002,1.5917754173278809,1.9327
agm1000018426,3.8110618591308594,1.5977628231048584,2.0055
agm1000015505,3.364587783813477,1.5238890647888184,1.6142
agm1000009129,3.9783620834350586,1.1306812763214111,2.0586
agm1000005453,4.096338272094727,0.9377245903015137,1.7364000000000002
agm1000013373,3.923910140991211,1.13238525390625,1.4512
agm1000017652,3.334508895874023,1.5674598217010498,2.1357
agm1000016807,2.874288558959961,1.071394681930542,1.8184
agm1000018090,2.880671262741089,1.0817139148712158,1.2941
agm1000003944,3.3496363162994385,1.2150611877441406,2.1612
agm1000001449,3.589414358139038,1.292090654373169,2.2887
agm1000005546,3.4862685203552246,0.6792024374008179,1.2771
agm1000017399,3.211956739425659,0.028353452682495117,1.6006
agm1000005484,3.294719696044922,0.8224048614501953,1.2637
agm1000010056,5.970190048217773,3.6230223178863525,4.7588
agm1000017575,5.999988079071045,4.0487260818481445,4.7277000000000005
agm1000009534,1.6351163387298584,0.8597393035888672,1.0158
agm1000001340,0.8409099578857422,1.3431856632232666,0.6809000000000001
agm1000010248,1.094954013824463,1.2810369729995728,1.0256
agm1000004469,1.2791805267333984,0.014010541141033173,0.6001000000000001
agm1000012508,3.11440110206604,1.10135817527771,1.6157
agm1000009052,0.9693479537963868,1.0999205112457275,0.9645
agm1000003064,0.255734920501709,0.4058742821216583,0.0
agm1000009423,6.695693016052246,4.634193420410156,5.3701
agm1000010768,9.168333053588867,6.615403175354004,5.8791
agm1000004900,6.484840393066406,6.119645595550537,4.3087
agm1000007518,7.586280822753906,5.3283843994140625,6.1496
agm1000018252,10.890090942382812,6.694545745849609,6.7305
agm1000010435,9.165371894836426,7.351585388183594,7.2281
agm1000009861,6.156601905822754,3.483722686767578,4.5808
agm1000013868,4.539969444274902,3.1307930946350098,2.4484
agm1000006913,5.6266398429870605,3.8240396976470947,4.5744
agm1000016526,7.15125846862793,4.280379295349121,5.1156
agm1000020030,7.200432777404785,4.162764549255371,3.2369
agm1000010496,6.917012691497803,4.630846977233887,5.3184000000000005
agm1000017161,7.40846061706543,0.6301451921463013,5.1057
agm1000010001,7.4039716720581055,0.6907682418823242,5.1517
agm1000013111,7.43377685546875,1.7257373332977295,5.5011
agm1000016623,7.683330535888672,3.1143081188201904,4.3656
agm1000002669,2.499509811401367,0.05372565984725952,0.0
agm1000017847,5.340041160583496,2.5600504875183105,4.4036
agm1000019255,3.815190076828003,2.7026207447052,2.6743
agm1000009906,4.529271602630615,3.1876609325408936,3.2346
agm1000009454,5.186002731323242,2.889643669128418,4.4827
agm1000012557,4.140474319458008,3.021801471710205,2.8369
agm1000016662,4.692304611206055,2.8790907859802246,3.8213
agm1000015265,4.410800933837891,2.5289692878723145,3.0672
agm1000013990,4.98371696472168,3.0395684242248535,3.9808
agm1000006195,0.0732240676879882,0.41570788621902466,0.0
agm1000002337,0.151552677154541,1.6410760879516602,0.0
agm1000016630,4.306822776794434,2.3828840255737305,3.7834
agm1000015005,3.4202489852905273,2.1177988052368164,2.0289
agm1000012763,4.6648736000061035,2.1693115234375,4.0071
agm1000014312,3.2557506561279297,2.321655750274658,2.6313
agm1000016172,4.363658905029297,1.822242021560669,3.5999
agm1000003481,4.099407196044922,1.708659291267395,2.9183
agm1000010516,3.92761754989624,2.0994155406951904,2.8004
agm1000004535,3.2185182571411133,2.0803849697113037,1.8087
agm1000000658,0.4677090644836426,1.456729531288147,0.0589
agm1000016276,2.2983973026275635,1.4738037586212158,1.5251
agm1000009101,3.8004610538482666,1.272805094718933,3.0701
agm1000017534,2.75110125541687,1.2436027526855469,1.4154
agm1000016278,0.0194244384765625,0.2948712110519409,0.0
agm1000016634,2.984174966812134,1.8589926958084106,2.2394
agm1000014504,1.7955641746520996,1.5284008979797363,0.9465
agm1000012884,2.7024295330047607,1.538156270980835,1.9963
agm1000013231,3.706094026565552,1.5265436172485352,2.6519
agm1000017786,10.700738906860352,7.153120517730713,8.5277
agm1000001145,10.72790813446045,7.1970391273498535,8.7485
agm1000019447,3.8852832317352295,2.21250581741333,2.7581
agm1000002447,2.9223456382751465,2.1699304580688477,1.3745
agm1000012536,3.8529484272003174,2.8652195930480957,4.0929
agm1000016805,3.7243125438690186,2.415966272354126,3.9769
agm1000013651,3.724175453186035,2.392442226409912,4.1811
agm1000018631,0.151867389678955,1.8395874500274658,0.0
agm1000017885,1.607983112335205,0.7635645866394043,1.1517
agm1000006809,0.3530211448669433,1.2203726768493652,1.1532
agm1000015672,0.0366435050964355,3.0418784618377686,0.3851
agm1000011805,0.2438821792602539,0.12172767519950867,0.0
agm1000017201,1.2765545845031738,0.9362502098083496,1.0689
agm1000011042,1.3951983451843262,0.277860164642334,0.8653000000000001
agm1000011899,0.5188431739807129,1.3185991048812866,0.4483
agm1000009614,1.8321022987365725,1.4586055278778076,0.9446
