id,Tc_K,dosef,debye_K,lambda,wlog_K,sk_bandgap_eV
agm003287992,0.002000,3.556579,799.513428,0.217354,392.544571,0.003151
agm003763768,4.638000,5.201495,477.021606,0.532582,293.864701,0.005869
agm002693309,0.000000,0.111876,265.025604,0.160086,153.165781,0.001078
agm003618584,0.000000,1.791104,347.886871,0.084248,204.104677,0.006367
agm002286298,0.919000,0.697101,334.714386,0.435876,136.165332,0.001889
agm001313359,0.000000,0.533275,402.414337,0.109331,252.537319,0.001456
agm001615937,1.295000,2.295165,478.830597,0.412486,255.681120,0.005407
agm001313476,0.000000,1.064763,387.404175,0.109162,239.386350,0.009977
agm002321988,1.702000,3.806061,310.366913,0.492838,145.112055,0.002076
agm001620474,1.410000,3.920070,409.644012,0.450189,178.601292,0.002547
agm001231413,0.237000,3.036285,311.464203,0.347476,139.040945,0.002794
agm001192164,14.179000,1.704246,798.426758,0.776552,306.881085,0.014489
agm003437121,0.026000,1.479676,550.578979,0.254956,365.117956,0.002640
agm001313566,0.139000,2.814529,478.249237,0.304302,248.333139,0.001089
agm002144587,0.000000,2.076731,401.873138,0.084801,212.376427,0.019876
agm001616441,0.239000,3.772886,462.601593,0.316986,292.779812,0.001866
agm002925362,0.488000,1.820300,476.154694,0.347706,283.818062,0.010086
agm001100127,0.417000,2.528740,444.307037,0.340182,286.423186,0.001086
agm003183316,3.712000,3.584526,474.650574,0.530012,239.638943,0.000675
agm005103468,0.000000,0.663730,547.183350,0.126425,429.094686,0.005731
agm001304890,0.033000,1.443479,521.331665,0.263768,296.076013,0.002351
agm003168060,0.092000,2.928537,272.975128,0.305341,158.212236,0.002867
agm001614385,0.000000,2.256669,497.102875,0.185206,294.818082,0.013191
agm002161036,0.062000,10.335878,276.654633,0.296673,142.471295,0.000908
agm002360948,0.095000,5.226705,382.106598,0.297102,214.252948,0.000741
agm002740636,3.440000,2.097391,491.529938,0.517698,241.783514,0.012927
agm002225734,0.065000,2.007974,398.404572,0.280725,268.973212,0.001908
agm002369981,0.011000,3.339990,483.033844,0.247001,256.800229,0.005633
agm001113434,1.635000,3.586728,455.303925,0.470863,168.989197,0.006541
agm002139619,2.229000,3.813025,624.831909,0.418654,406.157419,0.028195
agm003166069,0.333000,1.566432,355.333160,0.337953,240.182996,0.019900
agm002194173,2.944000,8.376215,309.614563,0.561049,155.397284,0.004914
agm003191176,0.208000,2.111721,450.126038,0.321813,223.878847,0.001730
agm002141876,0.060000,3.957359,242.549149,0.301677,116.535812,0.012468
agm003627348,0.055000,0.732870,448.841888,0.275774,282.209940,0.001226
agm003186850,4.316000,2.326067,511.495178,0.609744,174.079237,0.001600
agm002030519,0.496000,1.338847,468.526154,0.344004,313.401266,0.020615
agm003435807,10.870000,6.991452,431.825348,0.843870,198.782614,0.003493
agm003165504,0.284000,1.241774,446.780701,0.356231,138.758765,0.002564
agm001313992,0.000000,1.130661,346.084381,0.070584,218.966442,0.006525
agm002258808,0.009000,2.610668,465.158936,0.238411,366.796359,0.007996
agm002535348,0.313000,1.470462,407.109558,0.342816,202.647410,0.002707
agm003158829,0.000000,0.937056,366.073853,0.167661,306.963962,0.022274
agm002186733,1.622000,2.234955,487.509521,0.471846,166.025074,0.000653
agm003278510,1.149000,2.212039,482.990204,0.399350,271.892777,0.001715
agm003549863,6.768000,1.737628,406.244965,0.555899,366.590860,0.013280
agm002694228,0.000000,0.454993,308.885040,0.137904,156.061537,0.001388
agm002946156,0.002000,4.257392,503.836823,0.222686,281.844352,0.008743
agm001627322,4.889000,6.781143,395.651550,0.730751,121.194733,0.001254
agm001615753,0.266000,5.368280,525.490967,0.325013,263.502990,0.002586
agm003168907,1.026000,2.276024,362.866364,0.430721,161.447368,0.002725
agm003202356,2.894000,4.026734,726.715271,0.466417,311.917088,0.007247
agm002218977,0.000000,2.000708,314.156677,0.195786,188.881039,0.013603
agm002690569,0.049000,1.190471,174.807266,0.292991,128.148115,0.004689
agm003198152,1.994000,6.377085,479.449127,0.433313,304.873520,0.002650
agm003263796,2.987000,5.990008,651.309814,0.450137,379.905006,0.005946
agm003162296,0.792000,4.647665,406.866913,0.394080,202.654327,0.001110
agm001311681,0.000000,1.589609,507.307892,0.184569,286.806332,0.004520
agm002565837,13.079000,3.512468,441.169434,1.146826,140.900464,0.004196
agm002342286,0.000000,1.691323,444.739929,0.142848,242.332868,0.012679
agm003260553,9.758000,9.811224,280.812714,0.944685,145.028868,0.001947
agm002321851,4.244000,4.951699,438.702118,0.922998,64.879294,0.001717
agm002186576,0.000000,0.706076,397.619476,0.161033,251.827986,1.430823
agm001623698,1.590000,2.961318,477.768219,0.462285,178.132964,0.003063
agm001222890,0.000000,3.541419,291.231567,0.208979,172.848583,0.001583
agm002695584,0.931000,2.630279,275.565643,0.450952,117.028662,0.008672
agm003186429,0.314000,2.634832,425.307739,0.333573,251.123867,0.005235
agm003436303,6.587000,5.139340,408.916473,0.648103,223.814935,0.000759
agm003771431,4.279000,5.515682,407.553741,0.559824,227.364618,0.000845
agm001850168,13.391000,3.197356,466.632019,1.235836,129.741472,0.001473
agm003186450,0.000000,1.503271,312.641632,0.212048,150.922167,0.006197
agm001133683,6.733000,4.383420,270.468781,0.764070,151.767097,0.000918
agm002187921,0.063000,0.890443,386.841705,0.287901,196.191152,0.023549
agm002138525,0.717000,2.623637,910.543579,0.349368,403.210252,0.002191
agm003263255,0.068000,3.510649,408.006378,0.282636,258.930539,0.007666
